shot,target_id,target_label,L0,Lm,Lnm,delta_m,delta_nm,tau,embedding_model,prefix_ratio,sample_count_limit,cache_path
7,f8ee91b681fd1c4a91662882d45c09922c79c270461cfe1768b9e77cb374571f,1,-52.4932341042,-46.8850289758,-46.8777653695,5.60820512839,5.61546873471,0.2,sentence-transformers/all-MiniLM-L6-v2,0.0,,ablation/WikiMIA/WikiMIA_length32/pythia-6.9b/7
7,65ca65767888a2c16ab317a66abaf2f41eb701a6f53b50ac22e316c36ef63b24,0,-51.5755087842,-55.868513705,-46.7030441407,-4.29300492083,4.8724646435,0.2,sentence-transformers/all-MiniLM-L6-v2,0.0,,ablation/WikiMIA/WikiMIA_length32/pythia-6.9b/7
7,9c07056817458bbc166ca044eea1db18b54ce415a6fb62536b2a241c97103f76,1,-40.7409252626,-37.0622442544,-40.9333370502,3.67868100819,-0.192411787606,0.2,sentence-transformers/all-MiniLM-L6-v2,0.0,,ablation/WikiMIA/WikiMIA_length32/pythia-6.9b/7
7,07dad9e72f4123de32ed7f5a2c7f5ef9af3091e3abb955f34b10d5d90db70d46,0,-59.716659728,-60.8381476071,-59.9067926629,-1.12148787912,-0.190132934956,0.2,sentence-transformers/all-MiniLM-L6-v2,0.0,,ablation/WikiMIA/WikiMIA_length32/pythia-6.9b/7
7,d684ffe7e9be8c61ed478133bf3944df6f447a679ee45d4cf9966b0acee88b76,1,-64.7211450475,-59.9855228221,-65.4929890364,4.73562222536,-0.771843988879,0.2,sentence-transformers/all-MiniLM-L6-v2,0.0,,ablation/WikiMIA/WikiMIA_length32/pythia-6.9b/7
7,c8d75f11a8e9852f5251720c77aeb07ef823a9513ba8295425d5725d99aebf9f,0,-44.1838114894,-43.9421207247,-46.0955216157,0.241690764654,-1.91171012638,0.2,sentence-transformers/all-MiniLM-L6-v2,0.0,,ablation/WikiMIA/WikiMIA_length32/pythia-6.9b/7
7,a6b30f8ead6a8311cc5cc852cc7250d91755b83751f3831cfaae63574ebc5be3,1,-40.5832019051,-38.092815225,-41.8748990687,2.49038668009,-1.29169716362,0.2,sentence-transformers/all-MiniLM-L6-v2,0.0,,ablation/WikiMIA/WikiMIA_length32/pythia-6.9b/7
7,c6cc9d543b526d5d202869de9bc8bb0488c218989bfa49a751508ce7c1b2b3d9,0,-46.9770732611,-42.091146044,-44.991001449,4.88592721703,1.98607181203,0.2,sentence-transformers/all-MiniLM-L6-v2,0.0,,ablation/WikiMIA/WikiMIA_length32/pythia-6.9b/7
7,aaecab39f72f185627884cf3b29a5097761ac5f7c9c6e8d5a9643a2d42925702,1,-28.6582187608,-36.643227916,-46.1190292957,-7.98500915522,-17.4608105349,0.2,sentence-transformers/all-MiniLM-L6-v2,0.0,,ablation/WikiMIA/WikiMIA_length32/pythia-6.9b/7
7,c40af797b425e7f1bcb2d4e278c255876732c9780e7b841d5fa8aca9a2b8055e,0,-46.1735441526,-40.8190139885,-40.6372201267,5.35453016414,5.53632402593,0.2,sentence-transformers/all-MiniLM-L6-v2,0.0,,ablation/WikiMIA/WikiMIA_length32/pythia-6.9b/7
7,81eb4803129896aff5689b3da8febea7688f539b05b438ca0d881d4c3337ce99,1,-61.2407813113,-58.800760213,-57.8258451393,2.44002109828,3.41493617199,0.2,sentence-transformers/all-MiniLM-L6-v2,0.0,,ablation/WikiMIA/WikiMIA_length32/pythia-6.9b/7
7,66162e598206ccf9505ac17231d01b5ce3853c9ec63b43c7bee18cd68fbd130e,0,-54.294342786,-52.7766748749,-52.489087289,1.51766791111,1.80525549698,0.2,sentence-transformers/all-MiniLM-L6-v2,0.0,,ablation/WikiMIA/WikiMIA_length32/pythia-6.9b/7
7,fc0b456275592f3a81aeef403c27614d84ae7d46ff1b9e3e2ca0b1918be23fa6,1,-65.8333569929,-65.0547058717,-71.9489162276,0.778651121163,-6.11555923474,0.2,sentence-transformers/all-MiniLM-L6-v2,0.0,,ablation/WikiMIA/WikiMIA_length32/pythia-6.9b/7
7,888c15e5201ee5f76fa2a113a13f6939a12a60edba0906c3e6df5f656e5b7e13,0,-56.6713954741,-54.507606745,-53.4916486686,2.1637887291,3.17974680549,0.2,sentence-transformers/all-MiniLM-L6-v2,0.0,,ablation/WikiMIA/WikiMIA_length32/pythia-6.9b/7
7,fe6d220521c0a01a8c7dadbae69d089c8d8aff8cab1b83d5593e0be7ee60cc17,1,-41.6509830095,-45.1360942862,-46.7312348321,-3.48511127667,-5.08025182257,0.2,sentence-transformers/all-MiniLM-L6-v2,0.0,,ablation/WikiMIA/WikiMIA_length32/pythia-6.9b/7
